更新时间,#genre#
CCTV-5+,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000506/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000506$订阅源-IPv6
CCTV-5+,http://223.166.234.215:7777/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://114.252.235.176:8000/udp/239.3.1.130:8004$订阅源
CCTV-5+,http://120.6.209.42:8866/udp/239.253.92.82:8013$订阅源
CCTV-5+,http://60.2.190.206:4000/udp/239.253.92.82:8013$订阅源
CCTV-5+,http://iptv.887979.xyz/ysptp/cctv5p.m3u8$订阅源
CCTV-6,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源-IPv6
CCTV-6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221227505/index.m3u8$订阅源-IPv6
CCTV-6,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$订阅源-IPv6
CCTV-6,http://223.166.234.215:7777/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://114.252.235.176:8000/udp/239.3.1.174:8001$订阅源
CCTV-6,http://120.6.209.42:8866/udp/239.253.92.193:6058$订阅源
CCTV-6,http://60.2.190.206:4000/udp/239.253.92.193:6058$订阅源
CCTV-6,http://219.159.194.4:8181/tsfile/live/0006_1.m3u8$订阅源
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000017218/1.m3u8$订阅源-IPv6
CCTV-7,http://[2409:8087:1a0a:df::400f]:80/wh7f454c46tw1639845910_217588519/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$订阅源-IPv6
CCTV-7,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225733/index.m3u8$订阅源-IPv6
CCTV-7,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?$订阅源-IPv6
CCTV-7,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000504/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000504$订阅源-IPv6
CCTV-7,http://223.166.234.215:7777/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://114.252.235.176:8000/udp/239.3.1.61:8104$订阅源
CCTV-7,http://120.6.209.42:8866/udp/239.253.92.194:6059$订阅源
CCTV-7,http://60.2.190.206:4000/udp/239.253.92.194:6059$订阅源
CCTV-7,http://iptv.887979.xyz/ysptp/cctv7.m3u8$订阅源
CCTV-8,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000003736/1.m3u8$订阅源-IPv6
CCTV-8,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$订阅源-IPv6
CCTV-8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226008/index.m3u8$订阅源-IPv6
CCTV-8,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228578/index.m3u8$订阅源-IPv6
CCTV-8,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8$订阅源-IPv6
CCTV-8,http://223.166.234.215:7777/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://114.252.235.176:8000/udp/239.3.1.175:8001$订阅源
CCTV-8,http://120.6.209.42:8866/udp/239.253.92.195:6060$订阅源
CCTV-8,http://60.2.190.206:4000/udp/239.253.92.195:6060$订阅源
CCTV-8,http://iptv.887979.xyz/ysptp/cctv8.m3u8$订阅源
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010217/main.m3u8$订阅源-IPv6
CCTV-9,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265009/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=3$订阅源-IPv6
CCTV-9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225734/index.m3u8$订阅源-IPv6
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$订阅源-IPv6
CCTV-9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8$订阅源-IPv6
CCTV-9,http://223.166.234.215:7777/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://114.252.235.176:8000/udp/239.3.1.62:8112$订阅源
CCTV-9,http://120.6.209.42:8866/udp/239.253.92.107:6020$订阅源
CCTV-9,http://60.2.190.206:4000/udp/239.253.92.107:6020$订阅源
CCTV-9,http://iptv.887979.xyz/ysptp/cctv9.m3u8$订阅源
CCTV-10,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000375/index.m3u8?IAS$订阅源-IPv6
CCTV-10,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225730/2.m3u8$订阅源-IPv6
CCTV-10,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010203/$订阅源-IPv6
CCTV-10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源-IPv6
CCTV-10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8?$订阅源-IPv6
CCTV-10,http://223.166.234.215:7777/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://114.252.235.176:8000/udp/239.3.1.63:8116$订阅源
CCTV-10,http://120.6.209.42:8866/udp/239.253.92.196:6061$订阅源
CCTV-10,http://60.2.190.206:4000/udp/239.253.92.196:6061$订阅源
CCTV-10,http://iptv.887979.xyz/ysptp/cctv10.m3u8$订阅源
CCTV-11,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000508$订阅源-IPv6
CCTV-11,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$订阅源-IPv6
CCTV-11,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=3$订阅源-IPv6
CCTV-11,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000497/index.m3u8?IAS$订阅源-IPv6
CCTV-11,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000497/index.m3u8?$订阅源-IPv6
CCTV-11,http://223.166.234.215:7777/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://114.252.235.176:8000/udp/239.3.1.152:8120$订阅源
CCTV-11,http://120.6.209.42:8866/udp/239.253.93.153:6321$订阅源
CCTV-11,http://60.2.190.206:4000/udp/239.253.93.153:6321$订阅源
CCTV-11,http://iptv.887979.xyz/ysptp/cctv11.m3u8$订阅源
CCTV-12,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1801993293_427444497/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$订阅源-IPv6
CCTV-12,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226568/index.m3u8$订阅源-IPv6
CCTV-12,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000509$订阅源-IPv6
CCTV-12,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010205/$订阅源-IPv6
CCTV-12,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000377/index.m3u8?$订阅源-IPv6
CCTV-12,http://223.166.234.215:7777/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://114.252.235.176:8000/udp/239.3.1.64:8124$订阅源
CCTV-12,http://120.6.209.42:8866/udp/239.253.92.197:6062$订阅源
CCTV-12,http://60.2.190.206:4000/udp/239.253.92.197:6062$订阅源
CCTV-12,http://iptv.887979.xyz/ysptp/cctv12.m3u8$订阅源
CCTV-13,http://[2409:8087:1a0a:df::4033]:80/wh7f454c46tw1917467835_-2108786972/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8?icpid=88888888&RTS=1713968746&from=4&hms_devid=1145&online=1713968746&vqe=3$订阅源-IPv6
CCTV-13,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226571/index.m3u8$订阅源-IPv6
